construct,genotype,mouse_id,sex,session_nr,block_nr,block_Id,trial_nr,trialtype,validity,CRonset,CRamp,CRpeaktime,FEC_amp,FEC_time,AmpAtTimeX,startle,CR
C57Bl/6J,wt,146,female,4,7,75264,1,puff1,valid,NaN,NaN,NaN,NaN,NaN,NaN,0,0
C57Bl/6J,wt,146,female,5,7,75420,1,puff1,valid,NaN,NaN,NaN,NaN,NaN,NaN,0,0
C57Bl/6J,wt,146,female,6,7,75580,1,puff1,valid,NaN,NaN,NaN,NaN,NaN,NaN,0,0
C57Bl/6J,wt,146,female,7,7,75740,1,puff1,valid,NaN,NaN,NaN,NaN,NaN,NaN,0,0
C57Bl/6J,wt,146,female,8,7,75900,1,puff1,valid,NaN,NaN,NaN,NaN,NaN,NaN,0,0
C57Bl/6J,wt,146,female,9,7,76060,1,puff1,valid,NaN,NaN,NaN,NaN,NaN,NaN,0,0
C57Bl/6J,wt,146,female,10,7,76221,1,puff1,valid,NaN,NaN,NaN,NaN,NaN,NaN,0,0
C57Bl/6J,wt,146,female,1,7,74778,12,tone10,valid,NaN,NaN,NaN,0.0791217365231331,684,0.0520384253470201,1,0
C57Bl/6J,wt,146,female,2,7,74938,12,tone10,valid,NaN,0.391048814086883,807,0.391048814086883,807,0.370155024999985,1,1
C57Bl/6J,wt,146,female,3,7,75098,12,tone10,valid,NaN,NaN,NaN,0.372141506474789,717,0.346263453506186,1,0
C57Bl/6J,wt,146,female,4,7,75264,12,tone10,valid,NaN,0.187788082982145,744,0.187788082982145,744,0.185463528902078,1,1
C57Bl/6J,wt,146,female,5,7,75420,12,tone10,invalid,NaN,NaN,NaN,NaN,NaN,NaN,0,0
C57Bl/6J,wt,146,female,6,7,75580,12,tone10,valid,NaN,0.138609342387113,900,0.138609342387113,900,0.100779168085405,1,1
C57Bl/6J,wt,146,female,7,7,75740,12,tone10,valid,NaN,0.435098874209826,879,0.435098874209826,879,0.413259062891666,1,1
C57Bl/6J,wt,146,female,8,7,75900,12,tone10,valid,NaN,0.609233227855407,816,0.609233227855407,816,0.580436011700729,1,1
C57Bl/6J,wt,146,female,9,7,76060,12,tone10,valid,NaN,NaN,NaN,0.116741559891951,663,0.0772109083813678,1,0
C57Bl/6J,wt,146,female,10,7,76221,12,tone10,valid,NaN,0.861921041685247,894,0.861921041685247,894,0.652738788614086,1,1
C57Bl/6J,wt,146,female,1,8,74781,1,puff1,valid,NaN,NaN,NaN,NaN,NaN,NaN,0,0
C57Bl/6J,wt,146,female,2,8,74941,1,puff1,valid,NaN,NaN,NaN,NaN,NaN,NaN,0,0
C57Bl/6J,wt,146,female,3,8,75101,1,puff1,valid,NaN,NaN,NaN,NaN,NaN,NaN,0,0
C57Bl/6J,wt,146,female,4,8,75267,1,puff1,valid,NaN,NaN,NaN,NaN,NaN,NaN,0,0
C57Bl/6J,wt,146,female,5,8,75423,1,puff1,valid,NaN,NaN,NaN,NaN,NaN,NaN,0,0
C57Bl/6J,wt,146,female,6,8,75583,1,puff1,valid,NaN,NaN,NaN,NaN,NaN,NaN,0,0
C57Bl/6J,wt,146,female,7,8,75743,1,puff1,valid,NaN,NaN,NaN,NaN,NaN,NaN,0,0
C57Bl/6J,wt,146,female,8,8,75903,1,puff1,valid,NaN,NaN,NaN,NaN,NaN,NaN,0,0
C57Bl/6J,wt,146,female,9,8,76063,1,puff1,valid,NaN,NaN,NaN,NaN,NaN,NaN,0,0
C57Bl/6J,wt,146,female,10,8,76224,1,puff1,valid,NaN,NaN,NaN,NaN,NaN,NaN,0,0
C57Bl/6J,wt,146,female,1,8,74781,12,tone10,valid,NaN,NaN,NaN,0.0582834054886555,651,-0.0417510812558595,1,0
C57Bl/6J,wt,146,female,2,8,74941,12,tone10,valid,NaN,0.471256998108879,777,0.471256998108879,777,0.442608813072204,1,1
C57Bl/6J,wt,146,female,3,8,75101,12,tone10,valid,NaN,0.0541083246960604,846,0.0541083246960604,846,0.049091906702862,1,1
C57Bl/6J,wt,146,female,4,8,75267,12,tone10,valid,NaN,NaN,NaN,0.133088956646866,903,0.119551196456761,1,0
C57Bl/6J,wt,146,female,5,8,75423,12,tone10,valid,NaN,NaN,NaN,0.173507420132265,729,0.158706502211368,1,0
C57Bl/6J,wt,146,female,6,8,75583,12,tone10,valid,606,0.285095563688133,777,0.285095563688133,777,0.244082267924146,0,1
C57Bl/6J,wt,146,female,7,8,75743,12,tone10,valid,NaN,NaN,NaN,0.323397443690093,702,0.253079581625712,1,0
C57Bl/6J,wt,146,female,8,8,75903,12,tone10,valid,NaN,0.772177993722897,921,0.772177993722897,921,0.641216380007016,1,1
C57Bl/6J,wt,146,female,9,8,76063,12,tone10,valid,NaN,0.36172847084784,972,0.36172847084784,972,0.254684154212169,1,1
C57Bl/6J,wt,146,female,10,8,76224,12,tone10,valid,NaN,0.281189065183975,771,0.281189065183975,771,0.222961986648851,1,1
C57Bl/6J,wt,146,female,1,9,74784,1,puff1,valid,NaN,NaN,NaN,NaN,NaN,NaN,0,0
C57Bl/6J,wt,146,female,2,9,74944,1,puff1,valid,NaN,NaN,NaN,NaN,NaN,NaN,0,0
C57Bl/6J,wt,146,female,3,9,75104,1,puff1,valid,NaN,NaN,NaN,NaN,NaN,NaN,0,0
C57Bl/6J,wt,146,female,4,9,75270,1,puff1,valid,NaN,NaN,NaN,NaN,NaN,NaN,0,0
C57Bl/6J,wt,146,female,5,9,75426,1,puff1,valid,NaN,NaN,NaN,NaN,NaN,NaN,0,0
C57Bl/6J,wt,146,female,6,9,75587,1,puff1,valid,NaN,NaN,NaN,NaN,NaN,NaN,0,0
